user_id,text_id,text,label,gender,age,language,grade_german,self_estimation_german,grade_math,career_path,school_type,field
1,15361,Die Geophysik befasst sich mit der Physik (3.3.9) der Erde und ihres Magnetfeldes sowie den Einwirkungen aus dem Weltraum auf den Planeten Erde.,1,female,17,german,1,1,4,college,mixed,other
1,20178,An den meisten Hochschulen wird außerdem zum Nachweis der sportlichen Leistungsfähigkeit eine Eingangsprüfung vorgenommen.,1,female,17,german,1,1,4,college,mixed,other
1,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",3,female,17,german,1,1,4,college,mixed,other
1,108,"Staatliche Prüfung: für Musikerzieher (Privatmusiklehrer, Lehrer an Musikschulen) nach mindestens 6 Semestern.",4,female,17,german,1,1,4,college,mixed,other
1,13277,"Wird Musik oder Kunst und Gestaltung als gekoppeltes Fach gewählt, erübrigt sich die Wahl eines Beifachs.",2,female,17,german,1,1,4,college,mixed,other
1,3247,"Praktikum während des Studiums: 2 je vierwöchige Praktika, davon mindestens eines an einem Gymnasium.",1,female,17,german,1,1,4,college,mixed,other
1,7134,"Das Studium ist dem der Elektrotechnik (6.10), des Maschinenbaus (6.33) und der Informatik (6.23) verwandt.",2,female,17,german,1,1,4,college,mixed,other
2,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,5973,Das Studium an einer Hochschule kann - neben dem eigenständigen Studiengang - auch von einem der naturwissenschaftlichen oder technischen Grundlagenfächer her begonnen und später auf den Schwerpunkt Hüttenwesen/Hüttentechnik konzentriert werden.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,21629,Bei Eventmanagement sowie Hotel- und Tourismusmanagement kann ein Nachweis über Englischkenntnisse verlangt werden.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,21037,"Auch Theater, Film und Fernsehen sowie Kunst und Musik sind von Interesse.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,21279,"Geowissenschaftler/-innen sind gefragte Experten in der Rohstoffgewinnung, im Umweltschutz, in der Abfalllagerung sowie in der Stadt- und Regionalplanung.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,1873,Hauptstudium: Im zweiten Studienabschnitt lassen sich dann Schwerpunkte bilden: Gießereitechnik oder Werkstofftechnik.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,3,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,16532,In allen Fächern der Fächergruppe ist die Zahl der Arbeitslosen - dem allgemeinen Trend entsprechend - zurückgegangen.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,2117,Im Bereich der Technischen Universitäten und Hochschulen gibt es keinen eigenständigen Studiengang für Produktions- und Fertigungstechnik.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,4,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,16660,Auch eine selbstständige Tätigkeit z.B. im Vertrieb oder in der Beratung ist möglich.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,18238,"Das Studium findet an Universitäten oder Pädagogischen Hochschulen (nur Baden-Württemberg) statt, für musisch-künstlerische Fächer auch an Kunst- und Musikhochschulen.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,10936,"Alle diese Studiengänge und -fächer bereiten auf eine berufliche Tätigkeit in den Bereichen Hörfunk, Fernsehen, Video, Film, Fotografie und Printmedien vor.",2,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",3,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,13324,Es sind zwei Fächer zu wählen.,1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",1,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
2,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,3,female,16,german_and_another_language,6,2,5,vocational,mixed,social_sciences
3,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,2,female,17,german,3,1,4,college,mixed,social_sciences
3,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,16532,In allen Fächern der Fächergruppe ist die Zahl der Arbeitslosen - dem allgemeinen Trend entsprechend - zurückgegangen.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,16660,Auch eine selbstständige Tätigkeit z.B. im Vertrieb oder in der Beratung ist möglich.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,1873,Hauptstudium: Im zweiten Studienabschnitt lassen sich dann Schwerpunkte bilden: Gießereitechnik oder Werkstofftechnik.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,21279,"Geowissenschaftler/-innen sind gefragte Experten in der Rohstoffgewinnung, im Umweltschutz, in der Abfalllagerung sowie in der Stadt- und Regionalplanung.",2,female,17,german,3,1,4,college,mixed,social_sciences
3,18238,"Das Studium findet an Universitäten oder Pädagogischen Hochschulen (nur Baden-Württemberg) statt, für musisch-künstlerische Fächer auch an Kunst- und Musikhochschulen.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,21629,Bei Eventmanagement sowie Hotel- und Tourismusmanagement kann ein Nachweis über Englischkenntnisse verlangt werden.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,13324,Es sind zwei Fächer zu wählen.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,5973,Das Studium an einer Hochschule kann - neben dem eigenständigen Studiengang - auch von einem der naturwissenschaftlichen oder technischen Grundlagenfächer her begonnen und später auf den Schwerpunkt Hüttenwesen/Hüttentechnik konzentriert werden.,2,female,17,german,3,1,4,college,mixed,social_sciences
3,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,10936,"Alle diese Studiengänge und -fächer bereiten auf eine berufliche Tätigkeit in den Bereichen Hörfunk, Fernsehen, Video, Film, Fotografie und Printmedien vor.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,21037,"Auch Theater, Film und Fernsehen sowie Kunst und Musik sind von Interesse.",1,female,17,german,3,1,4,college,mixed,social_sciences
3,2117,Im Bereich der Technischen Universitäten und Hochschulen gibt es keinen eigenständigen Studiengang für Produktions- und Fertigungstechnik.,2,female,17,german,3,1,4,college,mixed,social_sciences
3,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",2,female,17,german,3,1,4,college,mixed,social_sciences
3,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,female,17,german,3,1,4,college,mixed,social_sciences
3,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,1,female,17,german,3,1,4,college,mixed,social_sciences
4,16574,Seit 2004 haben sich die Arbeitslosenzahlen in allen Fächern dieser Fächergruppe kaum noch verändert.,1,female,16,german,1,1,1,college,mixed,undecided
4,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",2,female,16,german,1,1,1,college,mixed,undecided
4,13324,Es sind zwei Fächer zu wählen.,1,female,16,german,1,1,1,college,mixed,undecided
4,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,2,female,16,german,1,1,1,college,mixed,undecided
4,21500,"Es gibt kaum ein Produkt, in dem – wenn oft auch unsichtbar – nicht Mathematik steckt.",1,female,16,german,1,1,1,college,mixed,undecided
4,20201,Dabei sollen die Fähigkeiten zur Gestaltung sowie zur Analyse und Interpretation von Werken der bildenden Kunst und der visuellen Medien vermittelt werden.,3,female,16,german,1,1,1,college,mixed,undecided
4,19400,Teilweise wird die Feinwerktechnik daher als Schwerpunkt in den genannten Studiengängen angeboten.,4,female,16,german,1,1,1,college,mixed,undecided
4,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,female,16,german,1,1,1,college,mixed,undecided
4,10458,"Dabei schützt er den Menschen auch vor Gefahren, die von tierischen Lebensmitteln oder von übertragbaren Krankheiten der Haustiere ausgehen können.",1,female,16,german,1,1,1,college,mixed,undecided
4,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",3,female,16,german,1,1,1,college,mixed,undecided
4,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",1,female,16,german,1,1,1,college,mixed,undecided
4,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,4,female,16,german,1,1,1,college,mixed,undecided
4,19134,Dank Lichtwellenleitern ist Ärzten/-innen der Einblick in das Innere des Menschen möglich.,1,female,16,german,1,1,1,college,mixed,undecided
4,11924,"6 Monate, davon 2 bis 3 vor Studienbeginn und der Rest während des Studiums bis zur Hauptprüfung.",3,female,16,german,1,1,1,college,mixed,undecided
4,20333,Meist ist vor Beginn des Studiums ein Vorpraktikum zu empfehlen.,2,female,16,german,1,1,1,college,mixed,undecided
4,10565,Knapp jeder fünfte Absolvent ist im Maschinen- und Stahlbau tätig.,1,female,16,german,1,1,1,college,mixed,undecided
4,21049,Die Bewerbung erfolgt über die Hochschule.,1,female,16,german,1,1,1,college,mixed,undecided
4,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",4,female,16,german,1,1,1,college,mixed,undecided
4,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",2,female,16,german,1,1,1,college,mixed,undecided
4,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",1,female,16,german,1,1,1,college,mixed,undecided
5,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",2,female,17,german,1,2,2,college,mixed,social_sciences
5,20816,Die Betriebswirtschaft ist ein Teilgebiet der Wirtschaftswissenschaften.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,6602,Die Geophysik befaßt sich mit der Physik (6.44) des Erdkörpers einschließlich seines Magnetfeldes.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,2,female,17,german,1,2,2,college,mixed,social_sciences
5,21558,"Darüber hinaus werden z.B. Technisches Englisch, Betriebs- und Arbeitsorganisation, Kostenrechnung oder Management-wissen vermittelt.",2,female,17,german,1,2,2,college,mixed,social_sciences
5,7116,Das gilt genauso für den Studenten an Fachhochschulen.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,12981,Nachträglich kann auch das Studium der Psychologie mit schulpsychologischem Schwerpunkt gewählt werden.,2,female,17,german,1,2,2,college,mixed,social_sciences
5,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",3,female,17,german,1,2,2,college,mixed,social_sciences
5,13290,Für diese Bewerber entfällt die Wahl eines Beifachs.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,13324,Es sind zwei Fächer zu wählen.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",1,female,17,german,1,2,2,college,mixed,social_sciences
5,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",2,female,17,german,1,2,2,college,mixed,social_sciences
5,7143,In der Regel 6 Monate vor und während des Studiums bis zur Vorprüfung.,1,female,17,german,1,2,2,college,mixed,social_sciences
5,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,2,female,17,german,1,2,2,college,mixed,social_sciences
5,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",2,female,17,german,1,2,2,college,mixed,social_sciences
5,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",3,female,17,german,1,2,2,college,mixed,social_sciences
5,6481,"Holz ist ein außerordentlich vielseitiges Material und gehört nach wie vor zu den meistgebrauchten Werkstoffen, dabei oft in Verbindung mit anderen Werkstoffen wie Metall, Kunststoff oder Glas (Möbelindustrie, Bauwesen).",2,female,17,german,1,2,2,college,mixed,social_sciences
5,5031,"Der Abschluß des Studiums befähigt seine Absolventen aber auch zu unterschiedlichen pädagogischen Tätigkeiten in der Wirtschaft (z. B. im betrieblichen Personal- und Bildungswesen), in der Verwaltung (z B. bei Kammern und Verbänden) und in der Forschung.",2,female,17,german,1,2,2,college,mixed,social_sciences
5,2785,Grundstudium: Dieses Studium ist z. Z. nur an der FH Aalen möglich.,2,female,17,german,1,2,2,college,mixed,social_sciences
6,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",1,female,17,german,1,1,4,college,mixed,other
6,13324,Es sind zwei Fächer zu wählen.,1,female,17,german,1,1,4,college,mixed,other
6,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",1,female,17,german,1,1,4,college,mixed,other
6,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",2,female,17,german,1,1,4,college,mixed,other
6,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,female,17,german,1,1,4,college,mixed,other
6,620,Das Studium der Volkswirtschaftslehre gliedert sich in ein Grundstudium (1.-4. Semester) und ein Hauptstudium (5.-8. Semester).,1,female,17,german,1,1,4,college,mixed,other
6,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,1,female,17,german,1,1,4,college,mixed,other
6,6003,Auch in Entwicklungsländern werden Hochschul- und Fachhochschulabsolventen dieser Richtung benötigt.,1,female,17,german,1,1,4,college,mixed,other
6,4516,"Theologie ist die Wissenschaft von Gott, wie ihn der christliche Glaube vorstellt.",1,female,17,german,1,1,4,college,mixed,other
6,11315,"Der überwiegende Teil, 8514, übte seinen Beruf in einer Praxis aus, 162 davon im Ausland.",1,female,17,german,1,1,4,college,mixed,other
6,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",1,female,17,german,1,1,4,college,mixed,other
6,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",1,female,17,german,1,1,4,college,mixed,other
6,15348,"Auf jeden Fall empfiehlt es sich, eines der genannten benachbarten Fächer zu vertiefen.",1,female,17,german,1,1,4,college,mixed,other
6,706,Fast immer empfiehlt sich neben dem Diplom ein Referendardienst und das 2. Staatsexamen.,1,female,17,german,1,1,4,college,mixed,other
6,98,Forschungsinstitutionen und die Industrie (besonders auch im Ausland) haben gelegentlich Bedarf an Anthropologen.,1,female,17,german,1,1,4,college,mixed,other
6,4531,An Fachhochschulen gab es im WS 1974/75 5500 Studenten.,1,female,17,german,1,1,4,college,mixed,other
6,12794,"Die Studierenden erhalten frühzeitig Kontakt zur realen Arbeitswelt und erwerben schon mit Studienbeginn soziale Kompetenz und praktisches Wissen, wie es im späteren Berufsleben benötigt wird.",1,female,17,german,1,1,4,college,mixed,other
6,10915,"Dies geschieht auf dem Wege der Entwicklung von Methoden zur großtechnischen Herstellung von Kunststoffen und Kunstfasern, mineralischen Düngern oder Schädlingsbekämpfungsmitteln.",2,female,17,german,1,1,4,college,mixed,other
6,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",2,female,17,german,1,1,4,college,mixed,other
6,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,2,female,17,german,1,1,4,college,mixed,other
7,4742,"Während beim Hochschulstudium die wissenschaftlichen Grundlagen und Methoden der Chemie und ihrer Anwendungen in der chemischen Industrie im Vordergrund stehen, ist der Studiengang Chemie oder technische Chemie an Fachhochschulen überwiegend darauf ausgerichtet, zur eigenständigen Mitarbeit im Labor bzw. im produktions- und betriebstechnischen Bereich zu befähigen.",4,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",3,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,13324,Es sind zwei Fächer zu wählen.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,9864,"Das Hauptbeschäftigungsfeld des Theaterwissenschaftlers liegt am Theater, beim Film sowie bei Hörfunk und Fernsehen und der an ihnen orientierten Publizistik.",2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,18900,Bei der Judaistik (siehe 4.8.7) liegt das Schwergewicht auf der jüdischen Geschichte und Kultur.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,12634,"Im Rahmen der Berufsaufklärung unterrichten sie die Öffentlichkeit über berufliche Anforderungen und Aussichten, über Wege und Förderungsmöglichkeiten der beruflichen Ausbildung sowie über Entwicklungen auf dem Arbeitsmarkt.",3,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",3,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,21499,In beiden Feldern kann es um Tiere und/ oder Pflanzen gehen.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,16611,"Die Medizin ist die Wissenschaft von den Ursachen, der Heilung, Linderung und Vorbeugung von Krankheiten.",1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,1038,Es wird unter fächerübergreifenden Gesichtspunkten in Projekten durchgeführt.,2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,16732,"Gewöhnlich werden eine Einführung in die organisatorischen und örtlichen Gegebenheiten der Hochschule sowie Tipps, wie man sich zurechtfindet und effektiv studiert, angeboten - und natürlich Informationen über das Studienangebot.",1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,6604,Auch in der Metallkunde (6.36) spielt die Physik eine hervorragende Rolle.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,20442,"Musiklehrer/-innen für allgemeinbildende Schulen finden außerhalb des Schuldienstes nur eingeschränkte Beschäftigungsmöglichkeiten, z.B. in den Medien, bei Plattenfirmen oder Musikverlagen.",3,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,21856,"Absolvent*innen können in unterschiedlichen Bereichen tätig werden, etwa in der Medienproduktion, in der Theater­, Film- und Fernsehproduktion oder im Kunst- und Kulturmanagement.",2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,1,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
7,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",2,male,18_or_older,german,4,1,2,college,mixed,languages_humanities
8,2341,In einem dieser Bereiche wird später die Diplomarbeit angefertigt.,1,male,18_or_older,another_language,3,2,2,undecided,mixed,undecided
8,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",2,male,18_or_older,another_language,3,2,2,undecided,mixed,undecided
